Key,Source,Note,en,ko,es,zh-cn,zh-tw
PowerKnockBackFlavorText,"Oh, a bow! A fine tool for communication!",,"Oh, a bow! A fine tool for communication!","아, 활! 훌륭한 대화수단이지!",¡Un arco! ¡Una gran herramienta de comunicación!,弓，是个非常优秀的对话手段！,啊，弓！真是優秀的溝通方式！
PowerStance,Knockback Resistance,,Knockback Resistance,스탠스,Resistencia al empuje,稳如泰山,格擋
PowerStanceDescription,"This round, all damage dealt to your player from minion direct attacks will miss.",,"This round, all damage dealt to your player from minion direct attacks will miss.",이번 라운드 동안 하수인의 직접 공격으로 인해 내 플레이어가 받는 피해가 모두 빗나갑니다.,Los ataques directos de los secuaces no infligirán daño a tu jugador en esta ronda.,在本回合内，我方玩家将避开所有由随从发动攻击而造成的伤害。,本回合內，我方不會受到來自手下的直接攻擊
PowerStanceFlavorText,Unlock the secret to avoiding damage!,,Unlock the secret to avoiding damage!,안 아프게 맞는 법!,¡Descubre el secreto para evadir el daño!,挨揍却不痛的办法！,被打時不會痛的方法！
PowerStrike,Power Strike,,Power Strike,파워 스트라이크,Golpe de poder,强力打击,魔天一擊
PowerStrikeDescription,Deal 5 damage to a minion.,,Deal 5 damage to a minion.,하수인에게 피해를 5 줍니다.,Inflige 5 puntos de daño a un secuaz.,对随从造成5点伤害。,對手下造成5點傷害。
PowerStrikeFlavorText,In need of a powerful punch?,,In need of a powerful punch?,묵직한 한방이 필요하신가요?,¿Alguien necesita un puñetazo?,是否需要致命一击？,需要一記重擊嗎？
Puco,Puco,,Puco,푸코,Puco,石像鬼,神秘熔岩像
PucoDescription,,,,,,,
PucoFlavorText,What do you call a Puco who likes bad jokes?\nA Punco! Puahaha!,,What do you call a Puco who likes bad jokes?\nA Punco! Puahaha!,푸코가 코를 풀면?\n푼코! 푸하핫!,"¿Cómo se le dice a un Puco que es pobre?\n¡Un Poco! ¡Ja, ja, ja!",石像鬼擤鼻涕的话？\n会变成石像鬼将！哈哈哈！,神秘熔岩像擤鼻涕的話？\n寶石熔岩像！噗哈哈！
Punco,Punco,,Punco,푼코,Punco,石像鬼将,寶石熔岩像
PuncoDescription,,,,,,,
PuncoFlavorText,What do you call a Punco who's going number two?\nA Puco! Pun hoo hoo!,,What do you call a Punco who's going number two?\nA Puco! Pun hoo hoo!,푼코에서 다시 콧물이 나면?\n푸코! 푼하핫!,"¿Cómo se llama el hermano menor de un Poco?\n¡Un Puco! ¡Jo, jo, jo!",石像鬼将再擤鼻涕的话？\n又变回石像鬼了！哈哈哈！,寶石熔岩像又流鼻嚏的話？\n神秘熔岩像！噗哈哈！
Puppet,Puppet,,Puppet,퍼펫,Marioneta,人偶,替身術
PuppetDescription,Summon a Scarecrow.,,Summon a Scarecrow.,허수아비를 소환합니다.,Invoca a un espantapájaros.,召唤稻草人。,召喚稻草人。
PuppetFlavorText,Things get busy during the harvest season. Be sure to order in advance!,,Things get busy during the harvest season. Be sure to order in advance!,추수 시기에 매우 바쁘니 미리 예약하세요.,Las cosas se ponen complicadas en la temporada de cosecha. ¡Asegúrate de pedir con tiempo!,秋收时节会非常忙，所以请提前预约。,收穫季非常忙碌，請提前預約。
QualmGuardian,Qualm Guardian,,Qualm Guardian,후회의 수호병,Guardián receloso,后悔的守护兵,悔恨的守護兵
QualmGuardianDescription,<b>Spawn</b>: Gain 6 HP if there is another minion on your field.,,<b>Spawn</b>: Gain 6 HP if there is another minion on your field.,<b>등장</b>: 내 전장에 다른 하수인이 있다면 HP를 6 얻습니다.,<b>Al entrar</b>: Obtén 6 puntos de HP si hay otro secuaz en tu campo.,<b>登场</b>：我方战场上有其他随从时，获得6点血量。,<b>登場</b>：戰場上還有其他手下時，獲得6點HP。
QualmGuardianFlavorText,"The only bit of humanity left to this creature is its heart, which is clinging to bittersweet memories.",,"The only bit of humanity left to this creature is its heart, which is clinging to bittersweet memories.",그가 인간이었다는 증거는 오직 씁쓸한 추억이 굳어져 있는 심장 뿐이다.,"El único rastro de humanidad que le queda a esta criatura es su corazón, que se aferra a amargos recuerdos.",能证明他曾是人类的唯一证据，是那颗凝结着苦涩回忆的心脏。,唯一能證明他曾是人類的證據，就只有他心中那苦澀的回憶。
Rage,Rage,,Rage,분노,Ira,愤怒,憤怒
RageDescription,Grant +2/+2 to any of your minions who have taken damage.,,Grant +2/+2 to any of your minions who have taken damage.,피해를 받은 내 하수인들에게 +2/+2를 부여합니다.,Otorga +2/+2 a cualquiera de tus secuaces que hayan recibido daño.,对受到伤害的我方随从赋予+2/+2。,賦予受到傷害的我方手下+2/+2的增益。
RageFlavorText,Whatever doesn't kill you makes you stronger.,,Whatever doesn't kill you makes you stronger.,나를 죽이지 못하는 고통은 나를 더 강하게 만들 뿐이다.,"Lo que no te mata, te hace más fuerte.",杀不死我的痛苦会让我变得更强。,殺不死我的痛苦，只會讓我變得更加強大。
Rash,Rash,,Rash,레쉬,Temerario,莱西,萊西
RashDescription,<b>Spawn</b>: Draw 1 card. Reduce the cost of minion cards in your hand by 1 and grant them +1/+1.,,<b>Spawn</b>: Draw 1 card. Reduce the cost of minion cards in your hand by 1 and grant them +1/+1.,<b>등장</b>: 카드를 한 장 뽑습니다. 내 손에 있는 하수인들의 비용을 1 증가시키고 +1/+1을 부여합니다.,<b>Al entrar</b>: saca 1 carta. Reduce el costo de las cartas de secuaces de tu mano en 1 y les otorga +1/+1.,<b>登场</b>：抽取一张卡牌。使我的手牌中的随从费用增加1点并赋予+1/+1。,<b>登場</b>：抽取一張卡牌。使我手牌中的手下費用+1，並賦予+1/+1的增益。
RashFlavorText,Don't I look cute?,,Don't I look cute?,내가 귀여워 보이나요?,¿Me veo adorable?,我看起来很可爱吗？,我看起來可愛嗎？
Ratz,Ratz,,Ratz,라츠,Rata,玩具白鼠,白色發條鼠
RatzDescription,,,,,,,
RatzFlavorText,Cheese in the trap.,,Cheese in the trap.,덫 안에 놓인 치즈.,El queso en la trampa.,放在捕鼠器里的奶酪。,放在陷阱裡的起司。
RaulTheKnight,Raul the Knight,,Raul the Knight,기사 라울,"Raul, el caballero",骑士拉尔,騎士拉烏爾
RaulTheKnightDescription,<b>Exit</b>: Draw a Dragon from your deck.,,<b>Exit</b>: Draw a Dragon from your deck.,<b>퇴장</b>: 내 덱에서 용을 뽑습니다.,<b>Al salir</b>: saca un dragón de tu mazo.,<b>退场</b>：从我的卡组中抽取龙。,<b>退場</b>：從我的牌堆中抽出龍。
RaulTheKnightFlavorText,I trust in your sense of honor.,,I trust in your sense of honor.,당신의 명예를 믿겠소.,Confío en tu sentido del honor.,我相信你的名誉。,我相信你的名譽。
RedDrake,Red Drake,,Red Drake,레드 드레이크,Dragón rojo,赤龙,赤龍
RedDrakeDescription,<b>Spawn</b>: Deal 3 damage to a random enemy.,,<b>Spawn</b>: Deal 3 damage to a random enemy.,<b>등장</b>: 무작위 적에게 피해를 3 줍니다.,<b>Al entrar</b>: le inflige 3 puntos de daño a un enemigo aleatorio.,<b>登场</b>：对随机敌方造成3点伤害。,<b>登場</b>：對隨機一個敵人造成3點傷害。
RedDrakeFlavorText,This guy drops Steely Throwing-Knives!\nI swear! I got one personally!,,This guy drops Steely Throwing-Knives!\nI swear! I got one personally!,뇌전 떴냐?\n떴으니까 올리지!,¡Ese sujeto suelta cuchillos arrojadizos de acero!\n¡Lo juro! ¡Yo mismo conseguí uno!,雷电出现了吗？\n所以才发的啊！,雷電出現了嗎？\n出現了就要上傳啊！
RedKentaurus,Red Kentaurus,,Red Kentaurus,붉은 켄타우로스,Kentauro rojo,红色半人马,火燄半人馬
RedKentaurusDescription,Gain 1 ATK each time an allied minion takes damage.,,Gain 1 ATK each time an allied minion takes damage.,내 하수인이 피해를 받을 때마다 공격력을 1 얻습니다.,Obtiene 1 de ATQ cada vez que un secuaz aliado recibe daño.,每次我的随从受到伤害时，获得1点攻击力。,每當我方手下受到傷害時，獲得1點攻擊力。
RedKentaurusFlavorText,All in on horse number 1!\n...Am I in the wrong place?,,All in on horse number 1!\n...Am I in the wrong place?,1번마! 1번마!\n아 여기가 아닌가?,¡Todo al caballo número 1!\n... ¿Me equivoqué de lugar?,1号马！1号马！\n啊，不是这里吗？,1號馬！1號馬！\n啊，不是這裡嗎？
RedSnail,Red Snail,,Red Snail,빨간 달팽이,Caracol rojo,红蜗牛,紅寶
RedSnailDescription,,,,,,,
RedSnailFlavorText,Rumor has it that some Blue Snails turn into Red Snails as they level up.,,Rumor has it that some Blue Snails turn into Red Snails as they level up.,레벨이 높아진 일부 파란 달팽이들이 빨간 달팽이로 변했다는 소문이 있다.,Algunos dicen que algunos caracoles azules se convierten en rojos al subir de nivel.,据说，等级变高的部分蓝蜗牛变成了红蜗牛。,據傳，等級提升的藍寶中，有一部分變成了紅寶。
Reindeer,Reindeer,,Reindeer,천록,Reno,水晶驯鹿,梅花鹿
ReindeerDescription,<b>Spawn</b>: Grant +1/+1 to the next minion you play.,,<b>Spawn</b>: Grant +1/+1 to the next minion you play.,<b>등장</b>: 내가 다음 번에 내는 하수인에게 +1/+1을 부여합니다.,<b>Al entrar</b>: otorga +1/+1 al siguiente secuaz que juegues.,<b>登场</b>：对下一次我召唤的随从赋予+1/+1。,<b>登場</b>：賦予我下一次打出的手下+1/+1的增益。
ReindeerFlavorText,The antlers of the reindeer are prized for their invigorating properties.,,The antlers of the reindeer are prized for their invigorating properties.,천록의 뿔로 약을 만들면 도력을 증강시키는데 큰 효험이 있다고 한다.,Las astas del reno son codiciadas por sus propiedades tonificantes.,据说用水晶驯鹿的角制作药的话，会有增强道力的强大效果。,據說用梅花鹿的角製成藥物，對增強法力有很大的功效。
Resurrection,Resurrection,,Resurrection,리저렉션,Resurrección,复活术,復甦之光
ResurrectionDescription,Re-summon a random allied minion that died this game.,,Re-summon a random allied minion that died this game.,이번 게임 동안 죽은 무작위 아군 하수인을 다시 소환합니다.,Vuelve a invocar a un secuaz aliado aleatorio que haya muerto en esta partida.,重新召唤本局游戏中死亡的随机我方随从。,隨機再次召喚出本場遊戲期間死去的我軍手下。
ResurrectionFlavorText,"Your next life is bound to be better, since you learned from your mistakes...right?",,"Your next life is bound to be better, since you learned from your mistakes...right?",다음 생은 멋있게 살 거야!,"Tu próxima vida está destinada a ser mejor, ya que aprendiste de tus errores... ¿verdad?",下辈子我要活得潇洒一点！,下輩子要活得精彩！
RibbonPig,Ribbon Pig,,Ribbon Pig,리본 돼지,Cerdo encintado,漂漂猪,緞帶肥肥
RibbonPigDescription,<b>Spawn</b>: Deal 2 damage to a random enemy.,,<b>Spawn</b>: Deal 2 damage to a random enemy.,<b>등장</b>: 무작위 적에게 피해를 2 줍니다.,<b>Al entrar</b>: le inflige 2 puntos de daño a un enemigo aleatorio.,<b>登场</b>：对随机敌方造成2点伤害。,<b>登場</b>：對隨機一個敵人造成2點傷害。
RibbonPigFlavorText,Even the world of swine has its nobility.\nThose adorned in red ribbons are both mighty and pampered.,,Even the world of swine has its nobility.\nThose adorned in red ribbons are both mighty and pampered.,돼지들의 세계에도 서열은 있다.\n강한 힘을 가진 돼지는 붉은 리본을 달고 다니며 귀족 대접을 받는다.,Hasta el mundo de los cerdos tiene nobleza.\nAquellos que visten lazos rojos son poderosos y consentidos.,猪的圈子里也有竞争。\n最强的猪会戴上红缎带，并享受贵族般的待遇。,肥肥的世界裡也有排名。\n擁有強大力量的肥肥會佩戴紅色緞帶，並受到貴族般的待遇。
Roloduck,Roloduck,,Roloduck,더키패밀리,Rolopato,鸭鸭家族,玩具小鴨家族
RoloduckDescription,Gain ATK equal to the number of other allied minions.,,Gain ATK equal to the number of other allied minions.,다른 아군 하수인의 수만큼 공격력을 얻습니다.,Obtiene un ATQ igual a la cantidad de secuaces aliados.,获得与我方的其他随从数量相同的攻击力。,獲得等同於其他我方手下數量的攻擊力。
RoloduckFlavorText,"Behold, the power of family!",,"Behold, the power of family!",가족의 힘!,¡Observen el poder de la familia!,家庭的力量！,家族的力量！
Ronnie,Ronnie,,Ronnie,로니,Ronnie,洛尼,洛尼
RonnieDescription,<b>Spawn</b>: Defeat a random Mushroom and gain that Mushroom's ATK and HP.,,<b>Spawn</b>: Defeat a random Mushroom and gain that Mushroom's ATK and HP.,<b>등장</b>: 무작위 버섯을 처치하고 그 버섯의 공격력과 HP를 얻습니다.,<b>Al entrar</b>: Vence a un hongo al azar y obtendrás su ATQ y PV.,<b>登场</b>：击败随机蘑菇，并获得该蘑菇的攻击力和血量。,<b>登場</b>：消滅隨機一個香菇，並獲得該香菇的攻擊力和HP。
RonnieFlavorText,I don't get why dad loves that book so much.,,I don't get why dad loves that book so much.,아빠는 왜 그 책을 소중히 하는 걸까?,No entiendo por qué mi papá adora tanto ese libro.,爸爸为什么很爱惜那本书？,爸爸為什麼那麼珍惜那本書呢？
RoyalCactus,Royal Cactus,,Royal Cactus,로얄카투스,Cactus real,仙人掌爸爸,成年仙人掌
RoyalCactusDescription,,,,,,,
RoyalCactusFlavorText,"Hey, those are needles, not toothpicks.",,"Hey, those are needles, not toothpicks.",내 가시를 이쑤시개로 쓰지 말아줄래?,"Oye, son púas, no mondadientes.",不要把我的刺当成牙签用好不好？,不要把我的刺當成牙籤使用好嗎？
Rurumo,Rurumo,,Rurumo,루루모,Rurumo,陆陆猫,紅藍雙怪
RurumoDescription,<b>Spawn</b>: Deal damage to your player equal to the number of cards played this round and obtain MP.,,<b>Spawn</b>: Deal damage to your player equal to the number of cards played this round and obtain MP.,<b>등장</b>: 이번 라운드 동안 내가 낸 카드의 수만큼 내 플레이어에게 피해를 주고 MP를 얻습니다.,<b>Al entrar</b>: le inflige daño a tu jugador igual al número de cartas que se juegan en esta ronda y obtiene PM.,<b>登场</b>：对我方玩家造成伤害并获得魔量，伤害值与魔量值等同于本回合内我出的卡牌数。,<b>登場</b>：對我方造成等同於本回合中已使用的卡片張數的傷害，並獲得等量的MP。
RurumoFlavorText,Ready for some weird science? Rurumo is here to make it happen!,,Ready for some weird science? Rurumo is here to make it happen!,쨍그랑! 비커가 깨지는 소리와 함께 루루모가 나타났습니다.,¿Quieres ver experimentos extraños? ¡Rurumo lo hará realidad!,哐啷！随着烧杯破碎的声音，陆陆猫现身了。,叮噹！伴隨著燒杯碎裂的聲響，紅藍雙怪出現了。
Rush,Charge,,Charge,돌진,Carga,突进,究擊突刺
RushDescription,Draw 1 minion from the deck. Deal damage equal to that minion's ATK to an enemy.,,Draw 1 minion from the deck. Deal damage equal to that minion's ATK to an enemy.,덱에서 하수인을 한 장 뽑습니다. 적에게 그 하수인의 공격력만큼 피해를 줍니다.,Saca 1 secuaz del mazo. Inflige daño equivalente al ATQ de ese secuaz a un enemigo.,从卡组中抽取一张随从卡牌。对敌方造成相当于该随从攻击力的伤害。,從牌堆抽取一張手下。對敵人造成相當該手下攻擊力的傷害。
RushFlavorText,"Charge first, think never!",,"Charge first, think never!",거침없이 돌격!,"¡Carga primero, y no pienses nunca!",奋不顾身突击！,肆無忌憚突擊！
Sabitrama,Sabitrama,,Sabitrama,사비트라마,Sabitrama,萨比特拉玛,薩比特拉瑪
SabitramaDescription,<b>Spawn</b>: Defeat a random minion with Venom and draw 2 cards.,,<b>Spawn</b>: Defeat a random minion with Venom and draw 2 cards.,<b>등장</b>: 무작위 맹독 하수인을 처치하고 카드를 두 장 뽑습니다.,<b>Al entrar</b>: derrota a un secuaz aleatorio con Veneno y saca 2 cartas.,<b>登场</b>：击败随机剧毒随从，并抽取两张卡牌。,<b>登場</b>：隨機消滅劇毒手下並抽兩張卡牌。
SabitramaFlavorText,This potion-making NPC doesn't actually make potions.,,This potion-making NPC doesn't actually make potions.,약물을 제작해주지 않는 약물 제작 NPC.,Este NPC preparador de pociones en realidad no prepara pociones.,不制作药物的药物制作NPC。,不製作藥物的藥物製作NPC。
Sacrifice,Sacrifice,,Sacrifice,새크리파이스,Sacrificio,龙之献祭,獻祭
SacrificeDescription,Defeat an allied minion and summon a random minion from your hand.,,Defeat an allied minion and summon a random minion from your hand.,내 하수인을 처치하는 대신 내 손에서 무작위 하수인을 소환합니다.,Derrota a un secuaz aliado y e invoca un secuaz aleatorio de tu mazo.,从我的手牌中召唤一个随机随从，以代替击败我方随从的效果。,消滅一名我方手下，並從手牌中召喚一名隨機手下。
SacrificeFlavorText,Who shall I sacrifice to summon my ideal partner?,,Who shall I sacrifice to summon my ideal partner?,무엇을 제물로 바쳐야 이상형을 소환할 수 있을까요?,¿A quién debo sacrificar para invocar a mi compañero ideal?,要把什么东西献作祭品才能召唤理想型呢？,要獻上什麼祭品，才能召喚出理想型呢？
SandRat,Sand Rat,,Sand Rat,모래 두더지,Rata de arena,沙漠土拨鼠,沙漠地鼠
SandRatDescription,,,,,,,
SandRatFlavorText,This kind of Talpidae lives in the desert and hunts for food beneath the sand.,,This kind of Talpidae lives in the desert and hunts for food beneath the sand.,사막에서만 서식하는 두더지의 일종이다.\n부드러운 모래 속을 뚫고 다니며 먹이를 찾아다니곤 한다,Este tipo de talpidae vive en el desierto y caza su comida bajo la arena.,一种只栖息在沙漠的土拨鼠。\n它穿越柔软的沙土，寻找食物。,只棲息在沙漠之中的田鼠。\n常常鑽進鬆軟的沙土中尋找食物。
Scadur,Scadur,,Scadur,스카두르,Scadur,斯卡德,史卡圖勒
ScadurDescription,<b>Spawn</b>: Defeat a random Boss.,,<b>Spawn</b>: Defeat a random Boss.,<b>등장</b>: 무작위 보스를 처치합니다.,<b>Al entrar</b>: derrota a un jefe aleatorio.,<b>登场</b>：击败随机首领。,<b>登場</b>：消滅隨機一個BOSS。
ScadurFlavorText,I need 50 Sapphire Ore to make some new fur armor.\nDon't ask me why!,,I need 50 Sapphire Ore to make some new fur armor.\nDon't ask me why!,새 모피 옷을 만드는 데 사파이어의 원석 50개가 필요하네.\n아무튼 필요하다네!,Necesito 50 minerales de zafiro para crear una nueva armadura de piel.\n¡No me preguntes por qué!,做新的毛皮衣需要50个蓝宝石原石。\n反正需要就是了！,製作一件新的毛皮衣需要50顆藍寶石原石。\n總之就是需要啦！
Scarecrow,Scarecrow,,Scarecrow,허수아비,Espantapájaros,稻草人,稻草人
ScarecrowDescription,Unable to attack the enemy player.,,Unable to attack the enemy player.,이 하수인은 적 플레이어를 공격할 수 없습니다.,No puedes atacar al jugador enemigo.,该随从无法攻击敌方玩家。,此手下無法攻擊敵方玩家。
ScarecrowFlavorText,"What kind of bird is that on its shoulder?\nWhoa, what the heck?!",,"What kind of bird is that on its shoulder?\nWhoa, what the heck?!",어깨 위에 얹혀놓은 새 이름이 뭔가요?\n앗 깜짝이야 뭐야 이거.,¿Qué ave es esa en su hombro?\n¡Ey! ¿Qué sucede?,坐在肩膀上的鸟叫什么名字？\n啊吓死我了，这是啥。,停在你肩膀上的鳥叫什麼名字？\n啊，嚇我一跳，這是什麼？
Seagull,Seagull,,Seagull,갈매기,Gaviota,海鸥,海鷗
SeagullDescription,Deal 1 damage to a random enemy after playing a card and return to your hand.,,Deal 1 damage to a random enemy after playing a card and return to your hand.,내가 카드를 낸 후에 무작위 적에게 피해를 1 주고 내 손으로 돌아갑니다.,Inflige 1 punto de daño a un enemigo aleatorio luego de jugar una carta y vuelve a tu baraja.,在我出卡牌后，对随机敌方造成1点伤害，并将其放回我的手牌。,我出牌後，對隨機一名敵方造成1點傷害並返回我的手中。
SeagullFlavorText,"Seagull poo may not hurt that much, but boy, is it gross and annoying!",,"Seagull poo may not hurt that much, but boy, is it gross and annoying!",갈매기 똥은 귀중한 전략자원으로 사용됩니다.,"Puede que el popó de gaviota no duela mucho, pero... ¡es asqueroso y molesto!",海鸥的粪便被视为宝贵的战略资源。,海鷗糞便是一種珍貴的戰略資源。
Sentinel,Sentinel,,Sentinel,스톤볼,Centinela,石球,石球
SentinelDescription,<b>Exit</b>: Deal 1 damage to all minions.,,<b>Exit</b>: Deal 1 damage to all minions.,<b>퇴장</b>: 모든 하수인들에게 피해를 1 줍니다.,<b>Al salir</b>: le inflige 1 punto de daño a todos los secuaces.,<b>退场</b>：对所有随从造成1点伤害。,<b>退場</b>：對所有手下造成1點傷害。
SentinelFlavorText,Warning: Do not throw.,,Warning: Do not throw.,경고: 던지고 놀지 마시오.,Advertencia: No lanzar.,警告：不要扔着玩。,警告：請勿投擲玩耍。
SergeantBravo,Sergeant Bravo,,Sergeant Bravo,브라보 하사,Sargento Bravo,巴伯下士,巴伯下士
SergeantBravoDescription,<b>Spawn</b>: Heal your player by 4.,,<b>Spawn</b>: Heal your player by 4.,<b>등장</b>: 내 플레이어의 HP를 4 회복시킵니다.,<b>Al entrar</b>: cura 4 a tu jugador.,<b>登场</b>：使我方玩家的血量恢复4点。,<b>登場</b>：恢復我方玩家4點HP。
SergeantBravoFlavorText,Medic!,,Medic!,의무병!!!,¡Médico!,义务兵！！！,醫務兵！！！
ShadowPartner,Shadow Partner,,Shadow Partner,쉐도우 파트너,Compañero sombrío,暗影拍档,影分身
ShadowPartnerDescription,Draw 1 card. Your skills deal +1 damage this round.,,Draw 1 card. Your skills deal +1 damage this round.,카드를 한 장 뽑습니다. 이번 라운드 동안 스킬 피해량 +1을 얻습니다.,Saca 1 carta. Tus habilidades harán +1 de daño durante esta ronda.,抽取一张卡牌。在本回合内，获得技能伤害量+1。,抽取一張卡牌。本回合中，獲得技能傷害量+1。
ShadowPartnerFlavorText,Shadow clone!,,Shadow clone!,그림자 분신술!,¡Clon sombrío!,阴影分身术！,影子分身術！
ShadowStars,Spirit of the Star,,Spirit of the Star,스피릿 자벨린,Espíritu de la estrella,暗器伤人,無形鏢
ShadowStarsDescription,Add 2 random Throwing Stars skills to your hand.,,Add 2 random Throwing Stars skills to your hand.,무작위 표창 스킬 둘을 내 손으로 가져옵니다.,Le añade 2 habilidades de estrellas voladoras aleatorias a tu mano.,将两个随机镖枪技能放入我的手牌。,隨機將兩個飛鏢技能放入我的手牌。
ShadowStarsFlavorText,You'll let me use expensive Throwing Stars for free? Really?,,You'll let me use expensive Throwing Stars for free? Really?,비싼 표창을 공짜로 쓰게 해 준다구요? 정말요?,¿Me dejarás usar estrellas voladoras caras gratis? ¿En serio?,你说可以让我免费使用昂贵的镖枪？真的吗？,無償讓我使用那個昂貴的飛鏢？真的嗎？
Shark,Shark,,Shark,샤크,Tiburón,鲨鲨,鯊魚
SharkDescription,<b>Exit</b>: Deal damage equal to this minion's ATK to all enemies.,,<b>Exit</b>: Deal damage equal to this minion's ATK to all enemies.,<b>퇴장</b>: 모든 적들에게 이 하수인의 공격력만큼 피해를 줍니다.,<b>Al salir</b>: le inflige daño igual al ATQ de los secuaces a todos los enemigos.,<b>退场</b>：对所有敌方造成相当于该随从攻击力的伤害。,<b>退場</b>：對所有敵方造成相當於此手下攻擊力的傷害。
SharkFlavorText,"It's tempting, but try not to sing the song...",,"It's tempting, but try not to sing the song...",아빠 상어 뚜루루뚜루♬,"Es tentador, pero intenta no cantar la canción...",爸爸鲨鱼嘟噜嘟噜嘟♬,"Daddy shark, doo doo doo doo doo doo♬"
SharpEyes,Sharp Eyes,,Sharp Eyes,샤프 아이즈,Vista de águila,火眼晶晶,會心之眼
SharpEyesDescription,Grant +1/+1 to your minions.\nDraw 1 card.,,Grant +1/+1 to your minions.\nDraw 1 card.,내 하수인들에게 +1/+1을 부여합니다.\n카드를 한 장 뽑습니다.,Otorga +1/+1 a tus secuaces.\nSaca 1 carta.,对我方随从赋予+1/+1。\n抽取一张卡牌。,對我方手下賦予+1/+1的增益。\n抽取一張卡牌。
SharpEyesFlavorText,Critical hit!,,Critical hit!,크리티컬 데미지!,¡Golpe crítico!,暴击伤害！,暴擊傷害！
Shockwave,Static Thumper,,Static Thumper,쇼크웨이브,Impacto estático,冲击波,衝擊波
ShockwaveDescription,Deal 2-3 damage to all enemy minions.,,Deal 2-3 damage to all enemy minions.,모든 적 하수인들에게 피해를 2~3 줍니다.,Le inflige 2 a 3 puntos de daño a todos los secuaces enemigos.,对所有敌方随从造成2~3点伤害。,對所有敵方手下造成2～3點傷害。
ShockwaveFlavorText,The shockwave caused by this technique could end the world as we know it.,,The shockwave caused by this technique could end the world as we know it.,이 기술로 인한 충격파는 세계를 멸망시킬 수도 있습니다.,La onda de choque que provoca esta técnica podría terminar con el mundo tal y como lo conocemos.,这个技能产生的冲击波有可能毁灭世界。,這個技能引發的衝擊波可能會毀滅世界。
Shout,Shout,,Shout,샤우트,Grito,狂吼,虎咆哮
ShoutDescription,<b>Stun</b> all enemy minions.,,<b>Stun</b> all enemy minions.,모든 적 하수인들을 <b>기절</b> 상태로 만듭니다.,<b>Aturde</b> a todos los secuaces enemigos.,使所有敌方随从陷入<b>眩晕</b>状态。,使所有敵方手下陷入<b>暈眩</b>狀態。
ShoutFlavorText,Shout with all your might for 5 seconds!,,Shout with all your might for 5 seconds!,전방에 힘찬 함성 5초간 발사!,¡Grita con toda tus fuerzas durante 5 segundos!,向前方高声呐喊5秒！,向前方發射持續5秒的強烈吶喊！
Shumi,Shumi,,Shumi,슈미,Shumi,休咪,休咪
ShumiDescription,Decrease the cost of your minions by 1.,,Decrease the cost of your minions by 1.,내 하수인의 비용이 1 감소합니다.,Reduce el costo de tus secuaces en 1.,使我的随从的费用减少1点。,我方手下的費用減少1。
ShumiFlavorText,Can you go find some coins for me?,,Can you go find some coins for me?,나 대신 동전 좀 찾아주지 않을래?,¿Podrías ir a buscarme algunas monedas?,能不能帮我找来硬币？,你能幫我找一下硬幣嗎？
Shuriken,Throwing Stars,,Throwing Stars,표창,Estrellas voladoras,镖枪,飛鏢
SilverHawk,Silver Hawk,,Silver Hawk,실버 호크,Halcón de plata,银胡克,銀鷹召喚
SilverHawkDescription,Summon a Silver Hawk.,,Summon a Silver Hawk.,은빛의 매를 소환합니다.,Invoca a un halcón de plata.,召唤银鹰。,召喚銀鷹。
SilverHawkFlavorText,"Come, Silver Crow!",,"Come, Silver Crow!",나와라 실버 크로우!,"¡Ven, cuervo de plata!",出来吧，白银克洛乌！,出來吧！白銀弩！
Skelegon,Skelegon,,Skelegon,스켈레곤,Esqueledragón,石骨龙,化石龍
SkelegonDescription,<b>Exit</b>: Summon a random Dragon from your hand.,,<b>Exit</b>: Summon a random Dragon from your hand.,<b>퇴장</b>: 내 손에서 무작위 용을 소환합니다.,<b>Al salir</b>: invoca a un dragón aleatorio de tu mano.,<b>退场</b>：在我的手牌中召唤随机龙。,<b>退場</b>：從我的手牌中召喚隨機一隻龍。
SkelegonFlavorText,Tragically suffering from osteoporosis.,,Tragically suffering from osteoporosis.,골다공증에 시달리고 있습니다.,Sufriendo trágicamente de osteoporosis.,一直受骨质疏松症的折磨。,正飽受骨質疏鬆所苦。
Slime,Slime,,Slime,슬라임,Baba,绿水灵,綠水靈
SlimeDescription,,,,,,,
SlimeFlavorText,"No, I did NOT reincarnate into this form.",,"No, I did NOT reincarnate into this form.","아니요, 전생 같은 것은 하지 않았습니다.","No, yo NO reencarné en esto.",不，没有经历过转世。,不，我沒有經歷過像前世那樣的事情。
Snail,Snail,,Snail,달팽이,Caracol,蜗牛,嫩寶
SnailDescription,,,,,,,
SnailFlavorText,I think I love you.,,I think I love you.,저도 당신을 사랑하는 것 같아요.,Creo que te amo.,我好像也在爱着你。,我好像也愛上你了。
Snatch,Snatch,,Snatch,스내치,Robar,索命,閃‧索命
SnatchDescription,Deal 3 damage to a minion and push it to the furthest right position.,,Deal 3 damage to a minion and push it to the furthest right position.,하수인에게 피해를 3 주고 맨 오른쪽으로 보냅니다.,Le inflige 3 puntos de daño a un secuaz y lo empuja a la posición derecha más lejana.,对随从造成3点伤害，并将其移动至最右侧。,對手下造成3點傷害，並將其推到最右邊。
